Species,Genus,Family
Tomato leaf curl Patna betasatellite,Betasatellite,Tolecusatellitidae
Aurodevirus hiberniae,Aurodevirus,Suoliviridae
Tomato enation leaf curl virus,Begomovirus,Geminiviridae
Besingivirus coli,Besingivirus,Suoliviridae
Cyclovirus doi,Cyclovirus,Circoviridae
Weheuvirus terradaptatum,Weheuvirus,Steitzviridae
Orthobunyavirus oropoucheense,Orthobunyavirus,Peribunyaviridae
Epseptimavirus SH9,Epseptimavirus,Demerecviridae
Rubodvirus argentinaense,Rubodvirus,Phenuiviridae
Qeihnovirus lutivicinum,Qeihnovirus,Atkinsviridae
Circovirus gryzon,Circovirus,Circoviridae
Chick syncytial virus,Gammaretrovirus,Retroviridae
Sweet potato leaf curl Sao Paulo virus,Begomovirus,Geminiviridae
Morbillivirus hominis,Morbillivirus,Paramyxoviridae
Chahsmivirus limivicinum,Chahsmivirus,Fiersviridae
Hapavirus marco,Hapavirus,Rhabdoviridae
Salmonella phage BIS20,Eganvirus,Peduoviridae
Tunggulvirus f2,Tunggulvirus,Autographiviridae
Switchgrass mosaic virus,Marafivirus,Tymoviridae
Lentinuvirus lentinulae,Lentinuvirus,Phenuiviridae
Chaphamaparvovirus gyb-MR2/2015/HUN,Chaphamaparvovirus,Parvoviridae
Barmah Forest virus,Alphavirus,Togaviridae
Cyclovirus vazka,Cyclovirus,Circoviridae
Avian coronavirus,Gammacoronavirus,Coronaviridae
Sida golden mosaic Honduras virus,Begomovirus,Geminiviridae
Hysdruvirus telluradaptatum,Hysdruvirus,Atkinsviridae
Setohruvirus agradaptatum,Setohruvirus,Steitzviridae
Peropuvirus beihaiense,Peropuvirus,Artoviridae
Cypovirus 2,Cypovirus,Spinareoviridae
Staphylococcus phage P68,Rosenblumvirus,Rountreeviridae
robinz virus RP_259,Cyclovirus,Circoviridae
Gulmivirus arvicola,Gulmivirus,Steitzviridae
Hanko virus,Flavivirus,Flaviviridae
Tequintavirus NBEco002,Tequintavirus,Demerecviridae
Actinidia seed borne latent virus,Prunevirus,Betaflexiviridae
Limelightvirus limelight,Limelightvirus,Autographiviridae
Cbunavirus CB4,Cbunavirus,Schitoviridae
Damravirus dentatis,Damravirus,Lispiviridae
Malvastrum yellow vein Yunnan virus,Begomovirus,Geminiviridae
Aurodevirus hominis,Aurodevirus,Suoliviridae
Luloavirus edaphocola,Luloavirus,Steitzviridae
Nigrospora oryzae victorivirus 1,Victorivirus,Totiviridae
Orthoavulavirus kopaiticense,Orthoavulavirus,Paramyxoviridae
Alphapolyomavirus tuglis,Alphapolyomavirus,Polyomaviridae
Jahgtovirus secundus,Jahgtovirus,Intestiviridae
Orthohantavirus necocliense,Orthohantavirus,Hantaviridae
Pujohnavirus solivicinum,Pujohnavirus,Steitzviridae
Cystovirus phi13,Cystovirus,Cystoviridae
Narmovirus narivaense,Narmovirus,Paramyxoviridae
Bat iflavirus,Iflavirus,Iflaviridae
Bat mumps orthorubulavirus,Orthorubulavirus,Paramyxoviridae
Agnathovirus eptatreti,Agnathovirus,Hantaviridae
Delusorvirus cascadiense,Delusorvirus,Skuldviridae
Piponevirus borborenecus,Piponevirus,Fiersviridae
Siovirus germanense,Siovirus,Zobellviridae
Gammatorquevirus homidi10,Gammatorquevirus,Anelloviridae
Euonymus yellow mottle associated virus,Potexvirus,Alphaflexiviridae
Przondovirus SHKp152410,Przondovirus,Autographiviridae
Alphanucleorhabdovirus melongenae,Alphanucleorhabdovirus,Rhabdoviridae
Kayvirus Sb1,Kayvirus,Herelleviridae
Chuvivirus canceris,Chuvivirus,Chuviridae
Diorhovirus intestinalis,Diorhovirus,Intestiviridae
Wongorr virus,Orbivirus,Sedoreoviridae
Varicellovirus monodontidalpha1,Varicellovirus,Orthoherpesviridae
Luteovirus glycinis,Luteovirus,Tombusviridae
Alfalfa enamovirus 1,Enamovirus,Solemoviridae
White-eye coronavirus HKU16,Deltacoronavirus,Coronaviridae
Pararubulavirus guangdongense,Pararubulavirus,Paramyxoviridae
Ichtchaphamaparvovirus syngnathid1,Ichtchaphamaparvovirus,Parvoviridae
Drulisvirus K244,Drulisvirus,Autographiviridae
Kampung Karu virus,Flavivirus,Flaviviridae
Hemphillvirus DK1,Hemphillvirus,Salasmaviridae
Gammapapillomavirus 26,Gammapapillomavirus,Papillomaviridae
Tunavirus ISF002,Tunavirus,Drexlerviridae
Duamitovirus peex1,Duamitovirus,Mitoviridae
Narcissus latent virus,Macluravirus,Potyviridae
Teetrevirus T3Luria,Teetrevirus,Autographiviridae
Cardiovirus F,Cardiovirus,Picornaviridae
Betapolyomavirus tertimuris,Betapolyomavirus,Polyomaviridae
Helleborus net necrosis virus,Carlavirus,Betaflexiviridae
Cunarovirus pedovivens,Cunarovirus,Steitzviridae
Tomato leaf curl Oman virus,Begomovirus,Geminiviridae
Orthobunyavirus ingwavumaense,Orthobunyavirus,Peribunyaviridae
Berlinvirus P483,Berlinvirus,Autographiviridae
Badnavirus gammasacchari,Badnavirus,Caulimoviridae
Betapolyomavirus tertihominis,Betapolyomavirus,Polyomaviridae
Ollusvirus scaldisense,Ollusvirus,Aliusviridae
Canna yellow streak virus,Potyvirus,Potyviridae
Orthoebolavirus sudanense,Orthoebolavirus,Filoviridae
Teseptimavirus EG1,Teseptimavirus,Autographiviridae
Megavirus chilense,Megavirus,Mimiviridae
Munia coronavirus HKU13,Deltacoronavirus,Coronaviridae
Tropivirus B,Tropivirus,Picornaviridae
Donggang virus,Flavivirus,Flaviviridae
Citrus tristeza virus,Closterovirus,Closteroviridae
Zucchini yellow mosaic virus,Potyvirus,Potyviridae
Serkorvirus ITL1,Serkorvirus,Autographiviridae
Kayfunavirus YZ1,Kayfunavirus,Autographiviridae
Cabassou virus,Alphavirus,Togaviridae
Alphapolyomavirus ptevampyrus,Alphapolyomavirus,Polyomaviridae
Horsegram yellow mosaic virus,Begomovirus,Geminiviridae
Orthoflavivirus israelense,Orthoflavivirus,Flaviviridae
Dyoiotapapillomavirus 1,Dyoiotapapillomavirus,Papillomaviridae
Eclunavirus EcL1,Eclunavirus,Drexlerviridae
Phimunavirus gaspode,Phimunavirus,Autographiviridae
Vicoquintavirus Pvco5,Vicoquintavirus,Schitoviridae
Paopuvirus quaker,Paopuvirus,Orlajensenviridae
Badnavirus mori,Badnavirus,Caulimoviridae
Lymphocystis disease virus 2,Lymphocystivirus,Iridoviridae
Dongdastvirus Axy04,Dongdastvirus,Schitoviridae
Beet mosaic virus,Potyvirus,Potyviridae
Sida chlorotic mottle virus,Begomovirus,Geminiviridae
Emaravirus syringae,Emaravirus,Fimoviridae
Tuaanevirus ime13,Tulanevirus,Straboviridae
Iteradensovirus lepidopteran3,Iteradensovirus,Parvoviridae
Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae
Sukkupivirus marietta,Sukkupivirus,Zierdtviridae
Dependoparvovirus squamate1,Dependoparvovirus,Parvoviridae
Tomato leaf curl Gandhinagar virus,Begomovirus,Geminiviridae
Cybitervirus niederense,Cybitervirus,Lispiviridae
Duamitovirus bodo1,Duamitovirus,Mitoviridae
Orthohantavirus fusongense,Orthohantavirus,Hantaviridae
Phlebovirus massiliaense,Phlebovirus,Phenuiviridae
Apple scar skin viroid,Apscaviroid,Pospiviroidae
Amalgavirus viciae,Amalgavirus,Amalgaviridae
Metsavirus lutivivens,Metsavirus,Steitzviridae
Black currant leaf chlorosis associated virus,Idaeovirus,Mayoviridae
Cowpea bright yellow mosaic virus,Begomovirus,Geminiviridae
Foxborovirus NatB6,Foxborovirus,Zierdtviridae
Sripuvirus chaco,Sripuvirus,Rhabdoviridae
Nilaparvata lugens reovirus,Fijivirus,Spinareoviridae
Gredihovirus neochorohabitans,Gredihovirus,Steitzviridae
Gallivirus Pf-CHK1/GV,Gallivirus,Picornaviridae
Anopheles minimus iridovirus,Chloriridovirus,Iridoviridae
Ageratum leaf curl virus,Begomovirus,Geminiviridae
Phobpsivirus agricola,Phobpsivirus,Fiersviridae
Gammapapillomavirus 2,Gammapapillomavirus,Papillomaviridae
Mivirus amblyommae,Mivirus,Chuviridae
Bell pepper mottle virus,Tobamovirus,Virgaviridae
Rogunavirus JLA23,Rogunavirus,Drexlerviridae
Tetraparvovirus ungulate1,Tetraparvovirus,Parvoviridae
Nematovirus wuchangense,Nematovirus,Lispiviridae
Tomato leaf curl Java betasatellite,Betasatellite,Tolecusatellitidae
Marafivirus nucipersicae,Marafivirus,Tymoviridae
Escherichia phage vB_EcoP-ZQ2,Gamaleyavirus,Schitoviridae
Lambdatorquevirus phoci5,Lambdatorquevirus,Anelloviridae
Iris severe mosaic virus,Potyvirus,Potyviridae
Vibrio phage ICP2_2013_A_Haiti,Icepovirus,Zobellviridae
Eilat virus,Alphavirus,Togaviridae
Nepovirus ribis,Nepovirus,Secoviridae
Gammapapillomavirus 12,Gammapapillomavirus,Papillomaviridae
Kinglevirus lutadaptatum,Kinglevirus,Steitzviridae
Gredihovirus humivicinum,Gredihovirus,Steitzviridae
Drulisvirus KpV48,Drulisvirus,Autographiviridae
Tomato leaf curl Cebu virus,Begomovirus,Geminiviridae
Acadevirus PM116,Acadevirus,Autographiviridae
Betascleroulivirus pyriculariae,Betascleroulivirus,Botourmiaviridae
Passerivirus sp.,Passerivirus,Picornaviridae
Sporobolus striate mosaic virus 2,Mastrevirus,Geminiviridae
Unuamitovirus enmu8,Unuamitovirus,Mitoviridae
Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae
Apukhovirus arvihabitans,Apukhovirus,Fiersviridae
Hydrangea ringspot virus,Potexvirus,Alphaflexiviridae
Atractylodes mottle virus,Carlavirus,Betaflexiviridae
Nodensvirus spm2,Nodensvirus,Kyanoviridae
Tibrovirus betaekpoma,Tibrovirus,Rhabdoviridae
Gemycircularvirus hypas1,Gemycircularvirus,Genomoviridae
Krischvirus gec3s,Krischvirus,Straboviridae
Thaumasvirus stim4,Thaumasvirus,Kyanoviridae
Orthotospovirus phaseolinecrotessellati,Orthotospovirus,Tospoviridae
Thobivirus asiohabitans,Thobivirus,Fiersviridae
Epaquintavirus Epa5,Epaquintavirus,Mesyanzhinovviridae
Ichonovirus limivicinum,Ichonovirus,Atkinsviridae
Pecan mosaic-associated virus,Potyvirus,Potyviridae
Bandavirus bhanjanagarense,Bandavirus,Phenuiviridae
Piscichuvirus sanxiaense,Piscichuvirus,Chuviridae
Macroptilium mosaic Puerto Rico virus,Begomovirus,Geminiviridae
Suhnsivirus arvicola,Suhnsivirus,Steitzviridae
Varicellovirus canidalpha1,Varicellovirus,Orthoherpesviridae
Alphafusarivirus neofusicocci,Alphafusarivirus,Fusariviridae
Agtrevirus EM4,Agtrevirus,Ackermannviridae
Carrot Ch virus 1,Chordovirus,Betaflexiviridae
Orthobunyavirus madridense,Orthobunyavirus,Peribunyaviridae
Parechovirus D,Parechovirus,Picornaviridae
Bandavirus razdanense,Bandavirus,Phenuiviridae
Iltovirus psittacidalpha1,Iltovirus,Orthoherpesviridae
Kumaovirus kumao,Kumaovirus,Vilmaviridae
Simian mastadenovirus E,Mastadenovirus,Adenoviridae
Peduovirus fiAA91ss,Peduovirus,Peduoviridae
Emaravirus aceris,Emaravirus,Fimoviridae
Fusarium oxysporum mymonavirus 1,Hubramonavirus,Mymonaviridae
Nupapillomavirus 1,Nupapillomavirus,Papillomaviridae
Premna leaf curl virus,Begomovirus,Geminiviridae
Almendravirus balsa,Almendravirus,Rhabdoviridae
Sida mosaic Bolivia virus 2,Begomovirus,Geminiviridae
Milihnovirus solihabitans,Milihnovirus,Steitzviridae
Ageratum yellow vein India alphasatellite,Colecusatellite,Alphasatellitidae
Digitaria didactyla striate mosaic virus,Mastrevirus,Geminiviridae
Orthobunyavirus guaroaense,Orthobunyavirus,Peribunyaviridae
Betabotoulivirus deltaplasmoparae,Betabotoulivirus,Botourmiaviridae
Streptococcus phage P7633,Moineauvirus,Aliceevansviridae
Gammapolyomavirus corvi,Gammapolyomavirus,Polyomaviridae
Grapevine leafroll-associated virus 1,Ampelovirus,Closteroviridae
Streptococcus phage P5641,Moineauvirus,Aliceevansviridae
Bocaparvovirus ungulate3,Bocaparvovirus,Parvoviridae
Tomato yellow leaf curl China alphasatellite,Colecusatellite,Alphasatellitidae
Orthobunyavirus shuniense,Orthobunyavirus,Peribunyaviridae
Salasvirus PZA,Salasvirus,Salasmaviridae
Aspergillus penoulivirus,Penoulivirus,Botourmiaviridae
Foot-and-mouth disease virus,Aphthovirus,Picornaviridae
Croton yellow vein virus,Begomovirus,Geminiviridae
Mitdiwavirus asiocola,Mitdiwavirus,Atkinsviridae
Phlebovirus bujaruense,Phlebovirus,Phenuiviridae
Lizard atadenovirus B,Atadenovirus,Adenoviridae
Betabotoulivirus entoleucae,Betabotoulivirus,Botourmiaviridae
Foveavirus ChVB,Foveavirus,Betaflexiviridae
Orthobunyavirus shermanense,Orthobunyavirus,Peribunyaviridae
Kuttervirus SS9,Kuttervirus,Ackermannviridae
Fowlpox virus,Avipoxvirus,Poxviridae
Hepatovirus E,Hepatovirus,Picornaviridae
Seybrovirus borborohabitans,Seybrovirus,Fiersviridae
Buchavirus hiberniae,Buchavirus,Suoliviridae
Fabavirus gentianae,Fabavirus,Secoviridae
Mucrahivirus geoenecus,Mucrahivirus,Fiersviridae
Oxychlovirus humadaptatum,Oxychlovirus,Fiersviridae
Human erythrovirus V9,Erythroparvovirus,Parvoviridae
Thetahypovirus sclerotii,Thetahypovirus,Hypoviridae
Rhizoctonia solani orthocurvulavirus 1,Orthocurvulavirus,Curvulaviridae
Tequintavirus HdH2,Tequintavirus,Demerecviridae
Friunavirus AB3,Friunavirus,Autographiviridae
Fabavirus vitis,Fabavirus,Secoviridae
Alphapapillomavirus 2,Alphapapillomavirus,Papillomaviridae
Fiyodovirus limihabitans,Fiyodovirus,Fiersviridae
Tomato yellow leaf curl Mali virus,Begomovirus,Geminiviridae
Phasivirus parryense,Phasivirus,Phenuiviridae
Magnaporthe oryzae virus 1,Victorivirus,Totiviridae
Osigowavirus insecticola,Osigowavirus,Fiersviridae
Usarudivirus SIRV11,Usarudivirus,Rudiviridae
Aspergillus fumigatus polymycovirus 1,Polymycovirus,Polymycoviridae
Menegrothvirus gilly,Menegrothvirus,Naryaviridae
Gohshovirus asiadaptatum,Gohshovirus,Atkinsviridae
Harrekavirus harreka,Harrekavirus,Aggregaviridae
Orthotospovirus arachianuli,Orthotospovirus,Tospoviridae
Brevihamaparvovirus dipteran2,Brevihamaparvovirus,Parvoviridae
Lophivirus Lf2,Lophivirus,Inoviridae
Walleye epidermal hyperplasia virus 2,Epsilonretrovirus,Retroviridae
Sugarcane streak mosaic virus,Poacevirus,Potyviridae
Eubenangee virus,Orbivirus,Sedoreoviridae
Carlavirus CVR,Carlavirus,Betaflexiviridae
Sida mottle Alagoas virus,Begomovirus,Geminiviridae
Corynebacterium virus Darwin,Ceetrepovirus,Zierdtviridae
Huleruivirus geocola,Huleruivirus,Atkinsviridae
Metaavulavirus galliense,Metaavulavirus,Paramyxoviridae
Gegevirus ST437OXA245phi41,Gegevirus,Peduoviridae
Neratovirus caenihabitans,Neratovirus,Atkinsviridae
Thalassavirus brizo,Thalassavirus,Demerecviridae
Gemykrogvirus galga4,Gemykrogvirus,Genomoviridae
Magoulivirus rhoplasmoparae,Magoulivirus,Botourmiaviridae
Rice stripe necrosis virus,Benyvirus,Benyviridae
Arurhavirus aruac,Arurhavirus,Rhabdoviridae
Ahphunavirus CF7,Ahphunavirus,Autographiviridae
Tenuivirus eurotritici,Tenuivirus,Phenuiviridae
Higrevirus waimanalo,Higrevirus,Kitaviridae
Ambidensovirus sp.,Ambidensovirus,Parvoviridae
Condavirus edaphohabitans,Condavirus,Fiersviridae
Chaphamaparvovirus rodent2,Chaphamaparvovirus,Parvoviridae
Tobacco mosaic virus,Tobamovirus,Virgaviridae
Blackberry yellow vein-associated virus,Crinivirus,Closteroviridae
Gemycircularvirus willde1,Gemycircularvirus,Genomoviridae
Creshivirus fonticola,Creshivirus,Fiersviridae
Betatorquevirus homini4,Betatorquevirus,Anelloviridae
Phimunavirus zenivior,Phimunavirus,Autographiviridae
Euproctis digramma nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
Betapolyomavirus ptedavyi,Betapolyomavirus,Polyomaviridae
Troedvirus Phi15,Troedvirus,Autographiviridae
Chinese yam necrotic mosaic virus,Macluravirus,Potyviridae
Ictavirus acipenseridallo2,Ictavirus,Alloherpesviridae
Teseptimavirus YpPY,Teseptimavirus,Autographiviridae
Everglades virus,Alphavirus,Togaviridae
Lehptevirus asiovivens,Lehptevirus,Atkinsviridae
Vectrevirus ACGC91,Vectrevirus,Autographiviridae
Faithunavirus faith1,Faithunavirus,Vilmaviridae
Tulanevirus bteighttwo,Tulanevirus,Straboviridae
Myducvirus myduc,Myducvirus,Chaseviridae
Aphenovirus arvadaptatum,Aphenovirus,Steitzviridae
Cacepaovirus simiae,Cacepaovirus,Suoliviridae
Circovirus barbel,Circovirus,Circoviridae
Lumosvirus krypton555,Lumosvirus,Vilmaviridae
Orthoflavivirus encephalitidis,Orthoflavivirus,Flaviviridae
Erannis ankeraria nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
Puhrivirus limivivens,Puhrivirus,Solspiviridae
Yersinia phage vB_YenM_324,Seongnamvirus,Peduoviridae
Vesiculovirus mediterranean,Vesiculovirus,Rhabdoviridae
Gammapolyomavirus secanaria,Gammapolyomavirus,Polyomaviridae
Dabirmavirus hominis,Dabirmavirus,Intestiviridae
Novirhabdovirus piscine,Novirhabdovirus,Rhabdoviridae
Gemycircularvirus draga1,Gemycircularvirus,Genomoviridae
Tombusvirus cucumis,Tombusvirus,Tombusviridae
Carlavirus PepVA,Carlavirus,Betaflexiviridae
Hehrovirus borborohabitans,Hehrovirus,Blumeviridae
Trichoplusia ni ascovirus 2c,Ascovirus,Ascoviridae
Sweet potato leaf curl Sichuan virus 1,Begomovirus,Geminiviridae
Bacillus phage Nemo,Wphvirus,Herelleviridae
Mazuvirus scam7,Mazuvirus,Kyanoviridae
Hysdruvirus tellurihabitans,Hysdruvirus,Atkinsviridae
Porcine type-C oncovirus,Gammaretrovirus,Retroviridae
Risjevirus RSJ2,Risjevirus,Autographiviridae
Orthobunyavirus apeuense,Orthobunyavirus,Peribunyaviridae
Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae
Deltascleroulivirus alphaplasmoparae,Deltascleroulivirus,Botourmiaviridae
Loptevirus arvivicinum,Loptevirus,Steitzviridae
Marafivirus asteroides,Marafivirus,Tymoviridae
African eggplant mosaic virus,Potyvirus,Potyviridae
Mycobacterium virus Bron,Bronvirus,Vilmaviridae
Deltapolyomavirus septihominis,Deltapolyomavirus,Polyomaviridae
Erythroparvovirus primate2,Erythroparvovirus,Parvoviridae
Unuamitovirus enmu4,Unuamitovirus,Mitoviridae
Cocksfoot mottle virus,Sobemovirus,Solemoviridae
Ageratum yellow leaf curl betasatellite,Betasatellite,Tolecusatellitidae
Culoivirus faecalis,Culoivirus,Suoliviridae
Betapolyomavirus desrotundus,Betapolyomavirus,Polyomaviridae
Gemykibivirus hydro2,Gemykibivirus,Genomoviridae
Sulfolobus ellipsoid virus 1,Alphaovalivirus,Ovaliviridae
Corynebacterium virus Zion,Ceetrepovirus,Zierdtviridae
Pecentumvirus LP064,Pecentumvirus,Herelleviridae
Salasvirus Gxv1,Salasvirus,Salasmaviridae
Tea plant line pattern virus,Ilarvirus,Bromoviridae
Jatropha yellow mosaic virus,Begomovirus,Geminiviridae
Nepovirus theobromatis,Nepovirus,Secoviridae
Lyssavirus Ozernoe,Lyssavirus,Rhabdoviridae
Pseudotevenvirus RB16,Pseudotevenvirus,Straboviridae
Quailpox virus,Avipoxvirus,Poxviridae
Wheat yellow dwarf virus-GPV,Polerovirus,Solemoviridae
Bandavirus zwieselense,Bandavirus,Phenuiviridae
Dihsdivirus solenecus,Dihsdivirus,Fiersviridae
Kochikohdavirus EF24C,Kochikohdavirus,Herelleviridae
Baoshanvirus BS1,Baoshanvirus,Herelleviridae
Decadevirus asienecus,Decadevirus,Fiersviridae
Basella rugose mosaic virus,Potyvirus,Potyviridae
Cotton leaf curl Gezira betasatellite,Betasatellite,Tolecusatellitidae
Cuernavacavirus RHEph02,Cuernavacavirus,Autographiviridae
Heterobasidion orthocurvulavirus,Orthocurvulavirus,Curvulaviridae
Elpedvirus LpeD,Elpedvirus,Herelleviridae
Gyrovirus myferr1,Gyrovirus,Anelloviridae
Rafivirus B,Rafivirus,Picornaviridae
Melegrivirus A,Megrivirus,Picornaviridae
Pararubulavirus sosugaense,Pararubulavirus,Paramyxoviridae
Badnavirus decoloratiovitis,Badnavirus,Caulimoviridae
Maxdohrnvirus SS2019XI,Maxdohrnvirus,Casjensviridae
Formivirus gorytis,Formivirus,Nyamiviridae
Whitefly associated Puerto Rico alphasatellite 1,Clecrusatellite,Alphasatellitidae
Ashcevirus caenenecus,Ashcevirus,Steitzviridae
Caladenia virus A,Poacevirus,Potyviridae
Mechlorovirus cucumeris,Mechlorovirus,Phenuiviridae
Orthotospovirus arachiflavi,Orthotospovirus,Tospoviridae
Gaprivervirus vr7,Gaprivervirus,Straboviridae
Tomato common mosaic virus,Begomovirus,Geminiviridae
Tobacco leaf curl Japan betasatellite,Betasatellite,Tolecusatellitidae
Rogunavirus rogue1,Rogunavirus,Drexlerviridae
Porcine mastadenovirus C,Mastadenovirus,Adenoviridae
Sclerotimonavirus cryphonectriae,Sclerotimonavirus,Mymonaviridae
Sweet potato leaf curl Lanzarote virus,Begomovirus,Geminiviridae
Ormenosvirus syn9,Ormenosvirus,Kyanoviridae
Alphapaprhavirus hubei,Alphapaprhavirus,Rhabdoviridae
Vesiculovirus morreton,Vesiculovirus,Rhabdoviridae
Alphatorquevirus cerco7,Alphatorquevirus,Anelloviridae
Botrytis virus F,Mycoflexivirus,Gammaflexiviridae
Ostreococcus tauri virus 2,Prasinovirus,Phycodnaviridae
Torovirus banli,Torovirus,Tobaniviridae
Betapolyomavirus tertidobsoniae,Betapolyomavirus,Polyomaviridae
Nepovirus manihotis,Nepovirus,Secoviridae
Alphatristromavirus PFV1,Alphatristromavirus,Tristromaviridae
Vicialiavirus VCY,Vicialiavirus,Inoviridae
Bahnicevirus terricola,Bahnicevirus,Steitzviridae
Kahshuvirus borborenecus,Kahshuvirus,Duinviridae
Kemicevirus caenihabitans,Kemicevirus,Fiersviridae
Ghunavirus 17A,Ghunavirus,Autographiviridae
Betapleolipovirus HRPV10,Betapleolipovirus,Pleolipoviridae
Paopuvirus Scamander,Paopuvirus,Orlajensenviridae
Yersinia phage P37,Peduovirus,Peduoviridae
Rat associated porprismacovirus 1,Porprismacovirus,Smacoviridae
Thetahypovirus sclerotiniae,Thetahypovirus,Hypoviridae
Duamitovirus gima3,Duamitovirus,Mitoviridae
Sunn hemp leaf distortion virus,Begomovirus,Geminiviridae
Wisteria vein mosaic virus,Potyvirus,Potyviridae
Passiflora chlorosis virus,Potyvirus,Potyviridae
Umbravirus arachidis,Umbravirus,Tombusviridae
Laminvirus HRTV25,Laminvirus,Hafunaviridae
Kirnavirus lutenecus,Kirnavirus,Fiersviridae
Potyvirus mirabilis,Potyvirus,Potyviridae
Mingyongvirus VMY22,Mingyongvirus,Salasmaviridae
Salasvirus Goe6,Salasvirus,Salasmaviridae
Circovirus porcine3,Circovirus,Circoviridae
Gredihovirus chthonovicinum,Gredihovirus,Steitzviridae
Bocaparvovirus primate2,Bocaparvovirus,Parvoviridae
Iltovirus gallidalpha1,Iltovirus,Orthoherpesviridae
Chimpanzee associated porprismacovirus 2,Porprismacovirus,Smacoviridae
Squirrelpox virus,Sciuripoxvirus,Poxviridae
Watermelon crinkle leaf-associated virus 1,Coguvirus,Phenuiviridae
Betatorquevirus homini27,Betatorquevirus,Anelloviridae
Human mastadenovirus A,Mastadenovirus,Adenoviridae
Cactus carlavirus 1,Carlavirus,Betaflexiviridae
Streptococcus phage CHPC1148,Moineauvirus,Aliceevansviridae
